route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0307,endpoints/v1/index.py,update_images,PUT,/v1/repositories/<repopath:repository>/images,anon-allowed,"v1_bp.route(""/repositories/<repopath:repository>/images"", methods=[""PUT""]); process_auth; parse_repository_name(); check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; generate_headers(scope=GrantType.WRITE_REPOSITORY); anon_allowed; check_readonly",endpoints/v1/index.py:290,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; generate_headers; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0307,flip `ROUTE_OWNER_V1_PUT_V1_REPOSITORIES_REPOPATH_REPOSITORY_IMAGES` -> `python`,BATCH-A1-ROUTES
ROUTE-0308,endpoints/v1/tag.py,get_tags,GET,/v1/repositories/<repopath:repository>/tags,legacy-registry-auth,"v1_bp.route(""/repositories/<repopath:repository>/tags"", methods=[""GET""]); process_auth; anon_protect; parse_repository_name()",endpoints/v1/tag.py:30,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0308,flip `ROUTE_OWNER_V1_GET_V1_REPOSITORIES_REPOPATH_REPOSITORY_TAGS` -> `python`,BATCH-A1-ROUTES
ROUTE-0309,endpoints/v1/tag.py,delete_tag,DELETE,/v1/repositories/<repopath:repository>/tags/<tag>,legacy-registry-auth,"v1_bp.route(""/repositories/<repopath:repository>/tags/<tag>"", methods=[""DELETE""]); process_auth; anon_protect; parse_repository_name(); check_repository_state; check_v1_push_enabled(); check_readonly",endpoints/v1/tag.py:132,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; check_readonly; check_repository_state; check_v1_push_enabled; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0309,flip `ROUTE_OWNER_V1_DELETE_V1_REPOSITORIES_REPOPATH_REPOSITORY_TAGS_TAG` -> `python`,BATCH-A1-ROUTES
ROUTE-0310,endpoints/v1/tag.py,get_tag,GET,/v1/repositories/<repopath:repository>/tags/<tag>,legacy-registry-auth,"v1_bp.route(""/repositories/<repopath:repository>/tags/<tag>"", methods=[""GET""]); process_auth; anon_protect; parse_repository_name()",endpoints/v1/tag.py:49,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0310,flip `ROUTE_OWNER_V1_GET_V1_REPOSITORIES_REPOPATH_REPOSITORY_TAGS_TAG` -> `python`,BATCH-A1-ROUTES
ROUTE-0311,endpoints/v1/tag.py,put_tag,PUT,/v1/repositories/<repopath:repository>/tags/<tag>,legacy-registry-auth,"v1_bp.route(""/repositories/<repopath:repository>/tags/<tag>"", methods=[""PUT""]); process_auth; anon_protect; parse_repository_name(); check_repository_state; check_v1_push_enabled(); check_readonly",endpoints/v1/tag.py:76,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; check_readonly; check_repository_state; check_v1_push_enabled; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0311,flip `ROUTE_OWNER_V1_PUT_V1_REPOSITORIES_REPOPATH_REPOSITORY_TAGS_TAG` -> `python`,BATCH-A1-ROUTES
ROUTE-0312,endpoints/v1/index.py,create_repository,PUT,/v1/repositories/<v1createrepopath:repository>/,anon-allowed,"v1_bp.route(""/repositories/<v1createrepopath:repository>/"", methods=[""PUT""]); process_auth; parse_repository_name(); check_v1_push_enabled(); ensure_namespace_enabled; check_repository_state; generate_headers(scope=GrantType.WRITE_REPOSITORY, add_grant_for_status=201); anon_allowed; check_readonly",endpoints/v1/index.py:205,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; check_repository_state; check_v1_push_enabled; ensure_namespace_enabled; generate_headers; parse_repository_name; process_auth; route,registryd-v1,A1,PT-ROUTE-0312,flip `ROUTE_OWNER_V1_PUT_V1_REPOSITORIES_V1CREATEREPOPATH_REPOSITORY` -> `python`,BATCH-A1-ROUTES
ROUTE-0313,endpoints/v1/index.py,get_search,GET,/v1/search,legacy-registry-auth,"v1_bp.route(""/search"", methods=[""GET""]); process_auth; anon_protect",endpoints/v1/index.py:385,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (v1-legacy-auth-family-match).,anon_protect; process_auth; route,registryd-v1,A1,PT-ROUTE-0313,flip `ROUTE_OWNER_V1_GET_V1_SEARCH` -> `python`,BATCH-A1-ROUTES
ROUTE-0314,endpoints/v1/index.py,get_user,GET,/v1/users,anon-allowed,"v1_bp.route(""/users"", methods=[""GET""]); v1_bp.route(""/users/"", methods=[""GET""]); process_auth; anon_allowed",endpoints/v1/index.py:160,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; process_auth; route,registryd-v1,A1,PT-ROUTE-0314,flip `ROUTE_OWNER_V1_GET_V1_USERS` -> `python`,BATCH-A1-ROUTES
ROUTE-0315,endpoints/v1/index.py,create_user,POST,/v1/users,anon-allowed,"v1_bp.route(""/users"", methods=[""POST""]); v1_bp.route(""/users/"", methods=[""POST""]); anon_allowed; check_readonly",endpoints/v1/index.py:108,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; route,registryd-v1,A1,PT-ROUTE-0315,flip `ROUTE_OWNER_V1_POST_V1_USERS` -> `python`,BATCH-A1-ROUTES
ROUTE-0316,endpoints/v1/index.py,get_user,GET,/v1/users/,anon-allowed,"v1_bp.route(""/users"", methods=[""GET""]); v1_bp.route(""/users/"", methods=[""GET""]); process_auth; anon_allowed",endpoints/v1/index.py:160,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; process_auth; route,registryd-v1,A1,PT-ROUTE-0316,flip `ROUTE_OWNER_V1_GET_V1_USERS` -> `python`,BATCH-A1-ROUTES
ROUTE-0317,endpoints/v1/index.py,create_user,POST,/v1/users/,anon-allowed,"v1_bp.route(""/users"", methods=[""POST""]); v1_bp.route(""/users/"", methods=[""POST""]); anon_allowed; check_readonly",endpoints/v1/index.py:108,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; route,registryd-v1,A1,PT-ROUTE-0317,flip `ROUTE_OWNER_V1_POST_V1_USERS` -> `python`,BATCH-A1-ROUTES
ROUTE-0318,endpoints/v1/index.py,update_user,PUT,/v1/users/<username>/,anon-allowed,"v1_bp.route(""/users/<username>/"", methods=[""PUT""]); process_auth; anon_allowed; check_readonly",endpoints/v1/index.py:177,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; check_readonly; process_auth; route,registryd-v1,A1,PT-ROUTE-0318,flip `ROUTE_OWNER_V1_PUT_V1_USERS_USERNAME` -> `python`,BATCH-A1-ROUTES
ROUTE-0319,endpoints/v2/__init__.py,v2_support_enabled,GET,/v2/,jwt-bearer-or-anon,"v2_bp.route(""/""); route_show_if(features.ADVERTISE_V2); process_registry_jwt_auth(); anon_allowed",endpoints/v2/__init__.py:294,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_allowed; process_registry_jwt_auth; route; route_show_if,registryd-v2,A1,PT-ROUTE-0319,flip `ROUTE_OWNER_V2_GET_V2` -> `python`,BATCH-A1-ROUTES
ROUTE-0320,endpoints/v2/blob.py,download_blob,GET,/v2/<BLOB_DIGEST_ROUTE>,jwt-bearer-or-anon,"v2_bp.route(BLOB_DIGEST_ROUTE, methods=[""GET""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull""]); require_repo_read(allow_for_superuser=True, allow_for_global_readonly_superuser=True); anon_allowed; check_region_blacklisted(BlobDownloadGeoBlocked); cache_control(max_age=31536000); inject_registry_model()",endpoints/v2/blob.py:100,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_allowed; cache_control; check_region_blacklisted; disallow_for_account_recovery_mode; inject_registry_model; parse_repository_name; process_registry_jwt_auth; require_repo_read; route,registryd-v2,A1,PT-ROUTE-0320,flip `ROUTE_OWNER_V2_GET_V2_BLOB_DIGEST_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0321,endpoints/v2/blob.py,check_blob_exists,HEAD,/v2/<BLOB_DIGEST_ROUTE>,jwt-bearer-or-anon,"v2_bp.route(BLOB_DIGEST_ROUTE, methods=[""HEAD""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull""]); require_repo_read(allow_for_superuser=True, allow_for_global_readonly_superuser=True); anon_allowed; cache_control(max_age=31436000); inject_registry_model()",endpoints/v2/blob.py:70,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_allowed; cache_control; disallow_for_account_recovery_mode; inject_registry_model; parse_repository_name; process_registry_jwt_auth; require_repo_read; route,registryd-v2,A1,PT-ROUTE-0321,flip `ROUTE_OWNER_V2_HEAD_V2_BLOB_DIGEST_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0322,endpoints/v2/manifest.py,delete_manifest_by_digest,DELETE,/v2/<MANIFEST_DIGEST_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_DIGEST_ROUTE, methods=[""DELETE""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull"", ""push""]); log_unauthorized_delete; require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/manifest.py:411,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; log_unauthorized_delete; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0322,flip `ROUTE_OWNER_V2_DELETE_V2_MANIFEST_DIGEST_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0323,endpoints/v2/manifest.py,fetch_manifest_by_digest,GET,/v2/<MANIFEST_DIGEST_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_DIGEST_ROUTE, methods=[""GET""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull""]); log_unauthorized_pull; require_repo_read(allow_for_superuser=True, allow_for_global_readonly_superuser=True); anon_protect; inject_registry_model()",endpoints/v2/manifest.py:163,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; disallow_for_account_recovery_mode; inject_registry_model; log_unauthorized_pull; parse_repository_name; process_registry_jwt_auth; require_repo_read; route,registryd-v2,A1,PT-ROUTE-0323,flip `ROUTE_OWNER_V2_GET_V2_MANIFEST_DIGEST_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0324,endpoints/v2/manifest.py,write_manifest_by_digest,PUT,/v2/<MANIFEST_DIGEST_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_DIGEST_ROUTE, methods=[""PUT""]); disallow_for_account_recovery_mode; parse_repository_name(); _reject_manifest2_schema2; process_registry_jwt_auth(scopes=[""pull"", ""push""]); log_unauthorized_push; require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/manifest.py:334,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,_reject_manifest2_schema2; anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; log_unauthorized_push; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0324,flip `ROUTE_OWNER_V2_PUT_V2_MANIFEST_DIGEST_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0325,endpoints/v2/referrers.py,list_manifest_referrers,GET,/v2/<MANIFEST_REFERRERS_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_REFERRERS_ROUTE, methods=[""GET""]); route_show_if(features.REFERRERS_API); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull""]); require_repo_read(allow_for_superuser=True, allow_for_global_readonly_superuser=True); anon_protect; inject_registry_model()",endpoints/v2/referrers.py:36,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; disallow_for_account_recovery_mode; inject_registry_model; parse_repository_name; process_registry_jwt_auth; require_repo_read; route; route_show_if,registryd-v2,A1,PT-ROUTE-0325,flip `ROUTE_OWNER_V2_GET_V2_MANIFEST_REFERRERS_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0326,endpoints/v2/manifest.py,delete_manifest_by_tag,DELETE,/v2/<MANIFEST_TAGNAME_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_TAGNAME_ROUTE, methods=[""DELETE""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull"", ""push""]); log_unauthorized_delete; require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/manifest.py:448,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; log_unauthorized_delete; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0326,flip `ROUTE_OWNER_V2_DELETE_V2_MANIFEST_TAGNAME_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0327,endpoints/v2/manifest.py,fetch_manifest_by_tagname,GET,/v2/<MANIFEST_TAGNAME_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_TAGNAME_ROUTE, methods=[""GET""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull""]); log_unauthorized_pull; require_repo_read(allow_for_superuser=True, allow_for_global_readonly_superuser=True); anon_protect; inject_registry_model()",endpoints/v2/manifest.py:76,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; disallow_for_account_recovery_mode; inject_registry_model; log_unauthorized_pull; parse_repository_name; process_registry_jwt_auth; require_repo_read; route,registryd-v2,A1,PT-ROUTE-0327,flip `ROUTE_OWNER_V2_GET_V2_MANIFEST_TAGNAME_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0328,endpoints/v2/manifest.py,write_manifest_by_tagname,PUT,/v2/<MANIFEST_TAGNAME_ROUTE>,jwt-bearer,"v2_bp.route(MANIFEST_TAGNAME_ROUTE, methods=[""PUT""]); disallow_for_account_recovery_mode; parse_repository_name(); _reject_manifest2_schema2; process_registry_jwt_auth(scopes=[""pull"", ""push""]); log_unauthorized_push; require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/manifest.py:308,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,_reject_manifest2_schema2; anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; log_unauthorized_push; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0328,flip `ROUTE_OWNER_V2_PUT_V2_MANIFEST_TAGNAME_ROUTE` -> `python`,BATCH-A1-ROUTES
ROUTE-0329,endpoints/v2/blob.py,delete_digest,DELETE,/v2/<repopath:repository>/blobs/<digest>,jwt-bearer,"v2_bp.route(""/<repopath:repository>/blobs/<digest>"", methods=[""DELETE""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull"", ""push""]); require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/blob.py:485,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0329,flip `ROUTE_OWNER_V2_DELETE_V2_REPOPATH_REPOSITORY_BLOBS_DIGEST` -> `python`,BATCH-A1-ROUTES
ROUTE-0330,endpoints/v2/blob.py,start_blob_upload,POST,/v2/<repopath:repository>/blobs/uploads/,jwt-bearer,"v2_bp.route(""/<repopath:repository>/blobs/uploads/"", methods=[""POST""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull"", ""push""]); log_unauthorized(""push_repo_failed""); require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/blob.py:265,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; log_unauthorized; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0330,flip `ROUTE_OWNER_V2_POST_V2_REPOPATH_REPOSITORY_BLOBS_UPLOADS` -> `python`,BATCH-A1-ROUTES
ROUTE-0331,endpoints/v2/blob.py,cancel_upload,DELETE,/v2/<repopath:repository>/blobs/uploads/<upload_uuid>,jwt-bearer,"v2_bp.route(""/<repopath:repository>/blobs/uploads/<upload_uuid>"", methods=[""DELETE""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull"", ""push""]); require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect; check_readonly; check_pushes_disabled",endpoints/v2/blob.py:462,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; check_pushes_disabled; check_readonly; disallow_for_account_recovery_mode; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0331,flip `ROUTE_OWNER_V2_DELETE_V2_REPOPATH_REPOSITORY_BLOBS_UPLOADS_UPLOAD_UUID` -> `python`,BATCH-A1-ROUTES
ROUTE-0332,endpoints/v2/blob.py,fetch_existing_upload,GET,/v2/<repopath:repository>/blobs/uploads/<upload_uuid>,jwt-bearer,"v2_bp.route(""/<repopath:repository>/blobs/uploads/<upload_uuid>"", methods=[""GET""]); disallow_for_account_recovery_mode; parse_repository_name(); process_registry_jwt_auth(scopes=[""pull""]); require_repo_write(allow_for_superuser=True, disallow_for_restricted_users=True); anon_protect",endpoints/v2/blob.py:337,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (jwt-decorator-match).,anon_protect; disallow_for_account_recovery_mode; parse_repository_name; process_registry_jwt_auth; require_repo_write; route,registryd-v2,A1,PT-ROUTE-0332,flip `ROUTE_OWNER_V2_GET_V2_REPOPATH_REPOSITORY_BLOBS_UPLOADS_UPLOAD_UUID` -> `python`,BATCH-A1-ROUTES
